시도	시군구	읍면동	주택유형	단지명	소재지	입주시기	총세대수	매매시세(3.3㎡)	분양가(3.3㎡)	시공사	lon	lat
부산	사상구	모라동	아파트	구남역동원로얄듀크	부산 사상구 모라동 1380	2019-02	498	1152	947	(주)동원개발	128.99463423370895	35.192822561884846
부산	동래구	온천동	아파트	두비앙에코힐	부산 동래구 온천동 1841	2019-06	219	911	947	금상건설(주)	129.05703393929733	35.204863122166984
부산	강서구	명지동	아파트	중흥S클래스프라디움	부산 강서구 명지동 3400	2016-12	1033	1262	945	중흥종합건설(주),중흥에스클래스건설(주),(주)시티이엔씨	128.9165479	35.0975489
부산	금정구	부곡동	아파트	퀸즈W장전역	부산 금정구 부곡동 64-23	2017-12	304	0	945	대성문종합건설(주)	129.09055890063806	35.242190982836675
부산	동래구	수안동	아파트	수안미소지음	부산 동래구 수안동 344	2015-11	85	0	944	일호개발 주식회사	129.08716111922513	35.20217782744003
부산	부산진구	부암동	아파트	서면동일파크스위트3차	부산 부산진구 부암동 746	2017-06	727	1348	944	(주)동일	129.04701240896213	35.16504175131166
대구	동구	신천동	아파트	오성파크2차	대구 동구 신천동 101-4	2017-01	72	822	941	광덕종합건설(주)	128.6243271622765	35.87137155293485
부산	부산진구	양정동	아파트	양정역퀸즈팰리스	부산 부산진구 양정동 397-1	2017-03	288	1087	938	대성문종합건설(주),창비건설(주)	129.0686147644495	35.17251473724384
부산	기장군	기장읍	아파트	경보그랜드비치	부산 기장군 기장읍 대변리 647	2018-01	117	0	938	(주)경보	129.2267412804047	35.225545836170376
부산	남구	대연동	아파트	보해이브	부산 남구 대연동 375-3	2015-11	84	0	937	주식회사보해토건	129.09553150823118	35.13511351398207
부산	부산진구	개금동	아파트	유창아이리치	부산 부산진구 개금동 171-49	2019-04	78	0	935	(주)익수종합건설	129.0241420585784	35.15129812037203
대구	동구	지저동	아파트	태왕아너스리버파크2차	대구 동구 지저동 932	2017-05	78	999	934	(주)태왕E&C	128.6388720248477	35.891959543597295
부산	연제구	연산동	아파트	아이유파크	부산 연제구 연산동 1866-2	2017-11	182	1114	933	주식회사 보해토건	129.09059656203235	35.17450948551713
부산	부산진구	전포동	아파트	동양팰리스	부산 부산진구 전포동 194-7	2016-06	165	0	928	동양캐슬(주)	129.06578037007372	35.15841266253205
부산	중구	보수동3가	아파트	보수3차봄여름가을겨울	부산 중구 보수동3가 73-35	2017-10	112	0	926	수근종합건설(주)	129.02236772233118	35.10352502572512
부산	강서구	명지동	아파트	더힐시그니처	부산 강서구 명지동 3404	2019-01	1210	1794	925	(주)동광주택	128.91388385179704	35.09552909546752
부산	서구	암남동	아파트	송도서린엘마르	부산 서구 암남동 764	2016-04	210	1142	922	서린건설(주)	129.0176718885385	35.071273488366636
부산	연제구	연산동	아파트	연산일동미라주더스타	부산 연제구 연산동 2335	2017-06	624	1367	922	주식회사일동	129.08813360901726	35.19041904714547
부산	연제구	연산동	아파트	부산더샵시티애비뉴2차	부산 연제구 연산동 1366-1	2016-12	416	1649	921	주식회사포스코건설	129.07591733720992	35.18131120775764
대구	중구	수창동	아파트	대구역센트럴자이	대구 중구 수창동 173	2017-10	1245	1475	917	지에스건설(주)	128.58637101650876	35.87581914503562
부산	사상구	주례동	아파트	주례경동리인	부산 사상구 주례동 1288	2017-05	839	1070	916	경동건설(주)	128.99685881875945	35.15620732067788
부산	기장군	정관읍	아파트	정관가화만사성더테라스1차	부산 기장군 정관읍 방곡리 407	2017-09	431	955	916	(주)가화건설	129.18956806562693	35.322175675584845
부산	동래구	사직동	아파트	사직롯데캐슬더클래식	부산 동래구 사직동 1041	2017-01	1064	3029	912	롯데건설(주)	129.06718020004217	35.197661247323
부산	수영구	망미동	아파트	망미이진캐스빌	부산 수영구 망미동 1159	2017-08	343	1273	912	이진종합건설(주)	129.1005347833302	35.16982495891553
부산	연제구	연산동	아파트	부산더샵시티애비뉴	부산 연제구 연산동 1361-7	2015-11	781	1746	909	(주)포스코건설	129.07648703097146	35.181053620259995
부산	연제구	연산동	아파트	시청역이즈팰리스1차	부산 연제구 연산동 1355-6	2016-09	174	0	909	창비건설주식회사	129.07685644332534	35.18241478772851
대구	달서구	대곡동	아파트	수목원서한이다음	대구 달서구 대곡동 1126	2018-04	849	1020	907	(주)서한	128.5302866245032	35.79600150509285
부산	동래구	사직동	아파트	사직삼정그린코아더베스트1차	부산 동래구 사직동 1039	2016-12	313	2271	906	(주)삼정,(주)삼정코아건설	129.06460029810643	35.19701138854564
대구	동구	괴전동	아파트	안심역코오롱하늘채	대구 동구 괴전동 654	2017-11	728	1108	906	코오롱글로벌(주)	128.73319768386912	35.867721311579864
대구	북구	칠성동2가	아파트	오페라삼정그린코아더베스트	대구 북구 칠성동2가 733	2017-10	713	1661	905	(주)삼정,(주)삼정코아건설	128.59147228377634	35.88482570334747
부산	부산진구	양정동	아파트	양정클래스원	부산 부산진구 양정동 386-3	2016-12	119	0	904	동백종합건설(주)	129.06865357227312	35.1739379046047
부산	사하구	장림동	아파트	리버팰리스	부산 사하구 장림동 435	2019-05	154	844	903	동양산기(주)	128.976024809568	35.07326165287546
대구	북구	태전동	아파트	협성휴포레강북	대구 북구 태전동 1186	2017-06	756	1140	901	(주)협성건설	128.5522286093496	35.92320905866023
부산	기장군	기장읍	아파트	동부산관광단지삼정그린코아더베스트	부산 기장군 기장읍 내리 792	2017-07	549	1262	899	(주)삼정코아건설,(주)삼정	129.20767105334528	35.20313511343763
부산	북구	구포동	아파트	해피투모로우	부산 북구 구포동 972-54	2018-04	190	1106	897	중아건설(주)	128.99943567453641	35.199819779530685
대구	남구	대명동	아파트	나나바루아	대구 남구 대명동 1623-6	2015-11	36	0	896	금화종합건설(주)	128.56550066594195	35.83983979731717
